Lipids,OW40_1,OW40_2,OW40_3,OW40_5,OW40_6,OW40_7,OW450_2,OW450_3,OW450_7,OW450_1,OW450_5,OW450_6
Cer(t18:0/17:0),6.53444297920614e-4,7.51566518093531e-4,8.80669711758583e-4,7.85015614606412e-4,2.33611089283213e-4,3.41217381087765e-4,4.80722166742976e-6,6.22857512420518e-5,4.45294478394553e-5,5.81289179859833e-6,6.94536319094207e-6,0
Cer(t18:0/21:0(2OH)),9.97956477952999e-5,8.1708806272269e-5,1.17470879551245e-4,2.04884331547133e-4,9.52736543900424e-5,8.08844633493591e-5,1.65442389099071e-4,3.15883586336536e-4,3.1567455479772e-4,1.38606283095083e-4,2.79543128898894e-4,1.22840800267645e-4
Cer(t18:0/22:0(2OH)),1.03116043173165e-5,8.30666733379758e-6,1.49000805279916e-5,2.07250386167377e-5,1.03327724339258e-5,1.40928684930802e-5,6.66399869155162e-6,1.1377870903167e-5,1.15646571773936e-5,4.47880243527186e-6,3.19664975603446e-5,2.4407836081297e-5
Cer(t18:0/23:0(2OH)),5.61838337919652e-5,6.20717463846903e-5,1.21664934835321e-4,1.68935992926301e-4,7.65095228918507e-5,6.26062791192933e-5,1.31336178352252e-4,3.47659324349319e-4,2.17588754860206e-4,1.37669374491036e-4,2.29828472407521e-4,1.04073190798792e-4
Cer(t18:0/24:0(2OH)),7.59097307207264e-5,6.23748380047528e-5,1.22267471855481e-4,2.76439698899425e-4,9.41223681678349e-5,1.20805627471474e-4,1.13563193199098e-4,3.03337409772519e-4,1.63730460011883e-4,1.18699593722493e-4,1.76364666898159e-4,1.18821147702935e-4
Cer(t18:0/25:0(2OH)),4.45378866357536e-5,4.26516166099563e-5,7.68523623948096e-5,1.97298729599805e-4,6.14057478999631e-5,9.44346190205915e-5,5.46294716404443e-5,1.49542841779135e-4,9.74760434731638e-5,5.19256007011861e-5,8.04205231501749e-5,5.89011671038368e-5
Cer(t18:1(6OH)/21:0),0.00224870462203197,0.00339909386304927,0.00438549853144521,0.00980274534569404,0.00395829841003673,0.00431839436288291,0.00395656501422095,0.00847899291896337,0.00676896057169691,0.00314823774695272,0.00806246714141114,0.00426340130919748
Cer(t18:1(6OH)/22:0(2OH)),1.36053640916805e-4,1.81027475549808e-4,2.25320578341463e-4,3.55819681005743e-4,1.39079221132609e-4,1.57869062193088e-4,1.49123114915162e-4,3.37494834007885e-4,2.11311488191e-4,1.20281567377506e-4,3.70941066266257e-4,1.75557568801945e-4
Cer(t18:1(6OH)/23:0(2OH)),2.17642358739702e-5,2.77021199038636e-5,3.86455617433133e-5,7.93063392984346e-5,2.53773500199847e-5,3.5348889225488e-5,2.50680696550786e-5,4.48728020411233e-5,2.56835394839813e-5,1.50677135899537e-5,5.06246363962398e-5,3.4518798977029e-5
Cer(t18:1(6OH)/23:0),0.00349638332630596,0.0053694859696081796,0.00749241854185427,0.0176398806824795,0.00602926323842626,0.00736091461660949,0.00485203830755683,0.0113513617515352,0.00812029200570869,0.00545531133473907,0.00880789678250765,0.005822241641708
Cer(t18:1(6OH)/24:0(2OH)),3.78351273066619e-5,4.4979241231637e-5,6.77091649662184e-5,1.17096957246293e-4,3.7119207867953e-5,6.51287735334784e-5,4.06678284950103e-5,8.08121648323228e-5,5.584173499146e-5,3.41089203535812e-5,5.36937642528523e-5,4.53802954475078e-5
Cer(t18:1(6OH)/24:0),6.12418758390249e-4,7.80776340490453e-4,0.00115167075568117,0.0026337289572118,7.39701829845963e-4,0.00135622264954646,0.00124246046544567,0.00392515033709423,0.00174300939543817,0.00125288927115732,0.00183235895653309,0.00124462690478108
Cer(t18:1(8E)/26:0(2OH[R])(3OH)),1.04932657725225e-5,1.67922677222859e-5,2.57194635604965e-5,7.57029724721996e-5,2.70706280031312e-5,4.0874983191638e-5,1.88489927450558e-5,5.96830265694816e-5,3.43374571447532e-5,2.23118319204021e-5,2.94030972407854e-5,3.48297180887178e-5
CerP(d14:1(4E)/20:0),2.20082296699336e-5,4.76679515448505e-5,2.83763196934689e-5,5.26121162352701e-5,1.32983018111982e-5,3.25802104040396e-5,1.35885436022052e-4,1.14272665743152e-4,7.49135110235604e-5,5.74267694546584e-5,3.17329711930453e-4,1.12720332038605e-4
CerP(d14:1(4E)/24:0(2OH)),4.17227045436789e-5,5.1022830542038e-5,7.84532361548199e-5,2.22906656197809e-4,5.1215896350839e-5,8.12343106203941e-5,6.3812422281112e-5,1.76114232722595e-4,8.99164831044479e-5,8.61749138513393e-5,9.75213572649685e-5,5.96360908379918e-5
